player	age	yds_per_drive	dr_accuracy	dr_totl	greens_in_reg	putt_avg	save_pct	events	rounds	cuts	top10	earn	log_earn
Ken Duke	49	274.2	68.6	186	63.7	1.791	52.0	N/A	N/A	N/A	N/A	N/A	N/A
Tony Finau	28	309.2	57.5	10	69.0	1.764	52.0	29	105	24	8	2838629.3	6.4531087
Zach Johnson	41	286.9	67.5	140	64.2	1.747	51.6	23	77	17	4	2362968	6.3734578
Grayson Murray	24	308.2	56.0	12	64.0	1.746	51.6	30	91	17	2	1468728.5	6.1669415
Hudson Swafford	30	305.1	60.3	22	68.2	1.776	51.5	28	90	18	4	2246090	6.3514272
Johnson Wagner	37	288.1	63.2	128	66.9	1.787	51.5	26	63	7	2	685305.94	5.8358845
Sung-hoon Kang	--	296.4	59.6	67	66.1	1.772	51.4	32	103	20	3	1943308.8	6.2885418
Sean O'Hair	35	297.5	60.6	58	66.4	1.778	51.4	25	84	17	5	1873856	6.2727362
Charles Howell III	38	296.9	54.7	62	67.0	1.772	51.4	23	82	20	5	2606382.5	6.4160382
Fabian Gomez	39	285.1	61.8	151	64.7	1.779	51.4	21	60	10	0	332351.84	5.5215981
Mark D. Anderson	31	283.8	60.0	157	65.6	1.796	51.3	N/A	N/A	N/A	N/A	N/A	N/A
Chris Kirk	32	287.0	63.9	139	66.7	1.740	51.3	28	84	16	3	1216046.6	6.0849502
Patrick Cantlay	25	298.9	61.5	48	69.2	1.756	51.1	13	48	12	4	2049631.9	6.3116759
K.J. Choi	47	282.2	66.2	163	63.0	1.777	51.1	25	66	10	0	292715.94	5.4664464
Patrick Reed	27	295.6	57.2	75	62.2	1.744	51.1	29	100	24	4	3055110.8	6.4850270
Ricky Barnes	36	284.9	54.3	153	63.5	1.762	51.0	31	92	17	0	697623.60	5.8436212
Steven Alker	46	276.9	67.5	183	65.2	1.781	51.0	N/A	N/A	N/A	N/A	N/A	N/A
Hideki Matsuyama	25	303.3	58.6	26	69.0	1.739	50.9	22	76	19	7	8380570	6.9232736
Ryan Blaum	--	284.1	60.9	156	65.3	1.759	50.7	29	96	21	2	962768.40	5.9835218
Graeme McDowell	38	279.5	69.9	173	62.6	1.742	50.5	17	56	11	0	639770.06	5.8060239
Branden Grace	29	292.0	58.5	100	66.4	1.813	50.5	20	63	15	2	1315053.5	6.1189434
Blayne Barber	28	291.2	61.6	109	67.6	1.762	50.4	25	72	12	1	823082	5.9154431
Mark Hubbard	--	282.7	60.4	160	65.4	1.811	50.4	N/A	N/A	N/A	N/A	N/A	N/A
Ernie Els	48	284.7	56.2	155	56.8	1.767	50.0	N/A	N/A	N/A	N/A	N/A	N/A
Greg Chalmers	44	278.0	59.8	181	59.9	1.757	50.0	28	72	9	0	344631.40	5.5373548
Patton Kizzire	31	293.0	52.5	92	63.5	1.766	50.0	28	76	12	2	1110395.4	6.0454777
Martin Flores	35	300.6	52.8	39	70.6	1.790	50.0	27	81	16	2	830057.40	5.9191081
Brett Drewitt	--	286.4	60.7	145	64.8	1.803	50.0	N/A	N/A	N/A	N/A	N/A	N/A
Kevin Streelman	39	294.0	66.0	84	66.7	1.791	49.7	26	89	19	2	1313326.9	6.1183728
Cody Gribble	--	297.2	54.8	60	62.7	1.747	49.6	28	78	11	2	1305554.3	6.1157949
Lucas Glover	38	298.6	65.4	50	69.9	1.782	49.3	26	90	20	4	1955822.5	6.2913294
Cameron Smith	24	292.6	56.3	94	63.1	1.737	49.2	26	82	15	4	2123216.3	6.3269942
